id,symbol,seqnames,strand,TSS,CAGE_representative_TSS,type
ENSG00000000003,TSPAN6,chrX,-,100639991,100636751,protein_coding
ENSG00000000005,TNMD,chrX,+,100584802,100584936,protein_coding
ENSG00000000419,DPM1,chr20,-,50958555,50958532,protein_coding
ENSG00000000457,SCYL3,chr1,-,169894267,169893896,protein_coding
ENSG00000000460,C1orf112,chr1,+,169662007,169795045,protein_coding
ENSG00000000938,FGR,chr1,-,27635277,27635143,protein_coding
ENSG00000000971,CFH,chr1,+,196651878,196652044,protein_coding
ENSG00000001036,FUCA2,chr6,-,143511690,143511720,protein_coding
ENSG00000001084,GCLC,chr6,-,53616970,53545101,protein_coding
ENSG00000001167,NFYA,chr6,+,41072945,41072975,protein_coding
ENSG00000001460,STPG1,chr1,-,24416934,24413725,protein_coding
ENSG00000001461,NIPAL3,chr1,+,24415794,24415802,protein_coding
ENSG00000001497,LAS1L,chrX,-,65534775,65534787,protein_coding
ENSG00000001561,ENPP4,chr6,+,46129993,46130055,protein_coding
ENSG00000001617,SEMA3F,chr3,+,50155045,50155082,protein_coding
ENSG00000001626,CFTR,chr7,+,117465784,117480025,protein_coding
ENSG00000001629,ANKIB1,chr7,+,92246234,92246024,protein_coding
ENSG00000001630,CYP51A1,chr7,-,92142952,92134474,protein_coding
ENSG00000001631,KRIT1,chr7,-,92246166,92245914,protein_coding
ENSG00000002016,RAD52,chr12,-,990053,949642,protein_coding
ENSG00000002330,BAD,chr11,-,64284704,64284654,protein_coding
ENSG00000002549,LAP3,chr4,+,17577192,17577497,protein_coding
ENSG00000002586,CD99,chrX,+,2691179,2691326,protein_coding
ENSG00000002587,HS3ST1,chr4,-,11429765,11428894,protein_coding
ENSG00000002726,AOC1,chr7,+,150824627,150852518,protein_coding
ENSG00000002745,WNT16,chr7,+,121325367,121329000,protein_coding
ENSG00000002746,HECW1,chr7,+,43112599,43112647,protein_coding
ENSG00000002822,MAD1L1,chr7,-,2233243,2232912,protein_coding
ENSG00000002834,LASP1,chr17,+,38869859,38870058,protein_coding
ENSG00000002919,SNX11,chr17,+,48103357,48107777,protein_coding
ENSG00000002933,TMEM176A,chr7,+,150800403,150800798,protein_coding
ENSG00000003056,M6PR,chr12,-,8949955,8949645,protein_coding
ENSG00000003096,KLHL13,chrX,-,118117340,118116794,protein_coding
ENSG00000003137,CYP26B1,chr2,-,72148038,72144088,protein_coding
ENSG00000003147,ICA1,chr7,-,8262687,8262150,protein_coding
ENSG00000003249,DBNDD1,chr16,-,90020128,90019456,protein_coding
ENSG00000003393,ALS2,chr2,-,201781189,201780933,protein_coding
ENSG00000003400,CASP10,chr2,+,201182881,201183141,protein_coding
ENSG00000003402,CFLAR,chr2,+,201116104,201116181,protein_coding
ENSG00000003436,TFPI,chr2,-,187565760,187554435,protein_coding
ENSG00000003509,NDUFAF7,chr2,+,37231631,37231658,protein_coding
ENSG00000003756,RBM5,chr3,+,50088908,50088954,protein_coding
ENSG00000003987,MTMR7,chr8,-,17413528,17413307,protein_coding
ENSG00000003989,SLC7A2,chr8,+,17497088,17497088,protein_coding
ENSG00000004059,ARF5,chr7,+,127588345,127588411,protein_coding
ENSG00000004139,SARM1,chr17,+,28364356,28371694,protein_coding
ENSG00000004142,POLDIP2,chr17,-,28357522,28357481,protein_coding
ENSG00000004399,PLXND1,chr3,-,129606818,129606676,protein_coding
ENSG00000004455,AK2,chr1,-,33080996,33036879,protein_coding
ENSG00000004468,CD38,chr4,+,15778275,15778328,protein_coding
ENSG00000004478,FKBP4,chr12,+,2794953,2794994,protein_coding
